RECIPEID,FOODNAME,FOODDESCRIPTION
110,Waffles,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
119,Croissant,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
125,"Ice cream","Start with a crust Add a sauce Add some veggies such as Try some fruit on your pizza such as Add some protein such as Add cheese Bake your creation in a hot oven (450 F or above) Whole-wheat Pizza Crust"
151,"Ice cream","add dried noodles"
178,"Hot dog","it will take around 4-5 minutes. Stir occasionally in between."
208,"Ice cream","add dried noodles"
248,"Hot dog","add dried noodles"
267,Sausages,"Start with a crust Add a sauce Add some veggies such as Try some fruit on your pizza such as Add some protein such as Add cheese Bake your creation in a hot oven (450 F or above) Whole-wheat Pizza Crust"
281,Waffles,"add dried noodles"
282,Waffles,"Heat the Oil Pour 3 tablespoons oil into a 3- to 4-quart heavy pot with a lid Add Test Kernels then the Remaining Kernels Cook the Kernels Shaking Every So Often Top the Popcorn with Seasonings and Butter If You'd Like"
365,"Ice cream","Heat the Oil Pour 3 tablespoons oil into a 3- to 4-quart heavy pot with a lid Add Test Kernels then the Remaining Kernels Cook the Kernels Shaking Every So Often Top the Popcorn with Seasonings and Butter If You'd Like"
387,Toast,"it will take around 4-5 minutes. Stir occasionally in between."
433,"Ice cream","Heat the Oil Pour 3 tablespoons oil into a 3- to 4-quart heavy pot with a lid Add Test Kernels then the Remaining Kernels Cook the Kernels Shaking Every So Often Top the Popcorn with Seasonings and Butter If You'd Like"
452,Sausages,"Start with a crust Add a sauce Add some veggies such as Try some fruit on your pizza such as Add some protein such as Add cheese Bake your creation in a hot oven (450 F or above) Whole-wheat Pizza Crust"
465,"Ice cream","Heat the Oil Pour 3 tablespoons oil into a 3- to 4-quart heavy pot with a lid Add Test Kernels then the Remaining Kernels Cook the Kernels Shaking Every So Often Top the Popcorn with Seasonings and Butter If You'd Like"
493,Croissant,"it will take around 4-5 minutes. Stir occasionally in between."
545,Noodles,"Heat the Oil Pour 3 tablespoons oil into a 3- to 4-quart heavy pot with a lid Add Test Kernels then the Remaining Kernels Cook the Kernels Shaking Every So Often Top the Popcorn with Seasonings and Butter If You'd Like"
550,Croissant,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
612,Noodles,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
617,Croissant,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
624,Croissant,"it will take around 4-5 minutes. Stir occasionally in between."
629,"Ice cream","1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
716,"Hot dog","add dried noodles"
725,Popcorn,"1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
737,"French fries","1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
764,Croissant,"Start with a crust Add a sauce Add some veggies such as Try some fruit on your pizza such as Add some protein such as Add cheese Bake your creation in a hot oven (450 F or above) Whole-wheat Pizza Crust"
800,Pizza,"Boil 6 cups water in a large pot or a deep pan and bring it to boil over medium flame. When it comes to rolling boil"
843,"Ice cream","1/2 tablespoon oil and 1/2 teaspoon salt. Boil until noodles are soft"
861,Noodles,"it will take around 4-5 minutes. Stir occasionally in between."
899,Noodles,"add dried noodles"
